1774805691309	0	SYSTEM	startup
1774805691547	0	SYSTEM	login online
1774805695920	0	SYSTEM	game online
1774805697231	2	PLAYER Fire	CONNECTED	TILE 3222,3218,0
1774805697733	3	BOT Fire	ASSIGNED	lumbridge_copper_mining
1774805697799	3	PLAYER Miriam	CONNECTED	TILE 3221,3219,0
1774805698334	4	BOT Fire	START_RESOLVER	deposit_all_bank	lumbridge_copper_mining
1774805698334	4	BOT Miriam	ASSIGNED	lumbridge_north_tree_cutting
1774805698374	4	PLAYER Tinne	CONNECTED	TILE 3222,3220,0
1774805698931	5	BOT Fire	START_ACTIVITY	deposit_all_bank
1774805698932	5	BOT Miriam	START_RESOLVER	deposit_all_bank	lumbridge_north_tree_cutting
1774805698932	5	BOT Tinne	ASSIGNED	lumbridge_west_tree_cutting
1774805698980	5	PLAYER Nidorina	CONNECTED	TILE 3212,3429,0
1774805699536	6	BOT Miriam	START_ACTIVITY	deposit_all_bank
1774805699536	6	BOT Tinne	START_RESOLVER	deposit_all_bank	lumbridge_west_tree_cutting
1774805699536	6	BOT Nidorina	ASSIGNED	lumbridge_east_tree_cutting
1774805699591	6	PLAYER GoodFight	CONNECTED	TILE 3221,3220,0
1774805700133	7	BOT Fire	START_ACTIVITY	go_to_bank
1774805700137	7	BOT Tinne	START_ACTIVITY	deposit_all_bank
1774805700137	7	BOT Nidorina	START_RESOLVER	deposit_all_bank	lumbridge_east_tree_cutting
1774805700137	7	BOT GoodFight	ASSIGNED	varrock_copper_mining
1774805700174	7	PLAYER Fire	TASK_COMPLETED	on_the_run_task
1774805700185	7	PLAYER BisqueBob	CONNECTED	TILE 3222,3219,0
1774805700735	8	BOT Miriam	START_ACTIVITY	go_to_bank
1774805700735	8	BOT Nidorina	START_ACTIVITY	deposit_all_bank
1774805700735	8	BOT GoodFight	START_RESOLVER	deposit_all_bank	varrock_copper_mining
1774805700736	8	BOT BisqueBob	ASSIGNED	varrock_east_tin_mining
1774805700771	8	PLAYER Miriam	TASK_COMPLETED	on_the_run_task
1774805700778	8	PLAYER Erehk	CONNECTED	TILE 3221,3219,0
1774805701336	9	BOT Tinne	START_ACTIVITY	go_to_bank
1774805701336	9	BOT GoodFight	START_ACTIVITY	deposit_all_bank
1774805701336	9	BOT BisqueBob	START_RESOLVER	deposit_all_bank	varrock_east_tin_mining
1774805701336	9	BOT Erehk	ASSIGNED	al_kharid_north_copper_mining
1774805701392	9	PLAYER Tinne	TASK_COMPLETED	on_the_run_task
1774805701399	9	PLAYER BullsEye99	CONNECTED	TILE 3221,3217,0
1774805701936	10	BOT Nidorina	START_ACTIVITY	go_to_bank
1774805701937	10	BOT BisqueBob	START_ACTIVITY	deposit_all_bank
1774805701937	10	BOT Erehk	START_RESOLVER	deposit_all_bank	al_kharid_north_copper_mining
1774805701937	10	BOT BullsEye99	ASSIGNED	varrock_copper_mining
1774805701963	10	PLAYER Nidorina	TASK_COMPLETED	on_the_run_task
1774805701970	10	PLAYER Appa	CONNECTED	TILE 3213,3428,0
1774805702537	11	BOT GoodFight	START_ACTIVITY	go_to_bank
