1774403549974	0	SYSTEM	startup
1774403550093	0	SYSTEM	login online
1774403552559	0	SYSTEM	game online
1774403575504	38	PLAYER ZedBot	CONNECTED	TILE 3221,3219,0
1774403613649	101	PLAYER SprintCrawl	CONNECTED	TILE 3094,3243,0
1774403614236	102	BOT SprintCrawl	ASSIGNED	lumbridge_copper_mining
1774403614850	103	BOT SprintCrawl	START_RESOLVER	deposit_all_bank	lumbridge_copper_mining
1774403615455	104	BOT SprintCrawl	START_ACTIVITY	deposit_all_bank
1774403616705	106	PLAYER SprintCrawl	TASK_COMPLETED	on_the_run_task
1774403619137	110	PLAYER SprintCrawl	TASK_COMPLETED	hang_on_to_something_task
1774403620972	113	BOT SprintCrawl	COMPLETED	deposit_all_bank
1774403621579	114	BOT SprintCrawl	START_RESOLVER	withdraw_from_bank	lumbridge_copper_mining
1774403622191	115	BOT SprintCrawl	START_ACTIVITY	withdraw_from_bank
1774403628922	126	BOT SprintCrawl	COMPLETED	withdraw_from_bank
1774403629534	127	BOT SprintCrawl	START_RESOLVER	go_to_area	lumbridge_copper_mining
1774403630143	128	BOT SprintCrawl	START_ACTIVITY	go_to_area
1774403631365	130	BOT SprintCrawl	START_ACTIVITY	go_to_lumbridge_swamp_east_copper_mine
1774403674642	201	PLAYER GleamTeam	CONNECTED	TILE 3222,3217,0
1774403675236	202	BOT GleamTeam	ASSIGNED	kill_freds_chickens_defence
1774403675844	203	BOT GleamTeam	START_RESOLVER	equip_items	kill_freds_chickens_defence
1774403676451	204	BOT GleamTeam	START_ACTIVITY	equip_items
1774403677066	205	PLAYER GleamTeam	TASK_COMPLETED	armed_and_dangerous_task
1774403678897	208	BOT GleamTeam	COMPLETED	equip_items
1774403679505	209	BOT GleamTeam	START_RESOLVER	deposit_all_bank	kill_freds_chickens_defence
1774403680115	210	BOT GleamTeam	START_ACTIVITY	deposit_all_bank
1774403681333	212	BOT GleamTeam	START_ACTIVITY	go_to_bank
1774403681344	212	PLAYER GleamTeam	TASK_COMPLETED	on_the_run_task
1774403689873	226	PLAYER GleamTeam	TELED	TILE 3205,3209,1
1774403692313	230	PLAYER GleamTeam	TELED	TILE 3205,3209,2
1774403695358	235	BOT SprintCrawl	COMPLETED	go_to_lumbridge_swamp_east_copper_mine
1774403695967	236	BOT GleamTeam	COMPLETED	go_to_bank
1774403697192	238	BOT SprintCrawl	COMPLETED	go_to_area
1774403697801	239	BOT SprintCrawl	START_ACTIVITY	lumbridge_copper_mining
1774403700853	244	PLAYER GleamTeam	TASK_COMPLETED	hang_on_to_something_task
1774403702687	247	BOT GleamTeam	COMPLETED	deposit_all_bank
1774403703298	248	BOT GleamTeam	START_RESOLVER	go_to_area	kill_freds_chickens_defence
1774403703908	249	BOT GleamTeam	START_ACTIVITY	go_to_area
1774403705123	251	BOT GleamTeam	START_ACTIVITY	go_to_lumbridge_chicken_pen
1774403710015	259	PLAYER GleamTeam	TELED	TILE 3205,3209,1
1774403712451	263	PLAYER GleamTeam	TELED	TILE 3205,3209,0
1774403735624	301	PLAYER Kraken Deep	CONNECTED	TILE 3213,3428,0
1774403736219	302	BOT Kraken Deep	ASSIGNED	ranged_tutor
1774403736828	303	BOT Kraken Deep	START_RESOLVER	nemarti_bow	ranged_tutor
1774403737436	304	BOT Kraken Deep	START_RESOLVER	go_to_area	nemarti_bow
1774403738045	305	BOT Kraken Deep	START_ACTIVITY	go_to_area
1774403739270	307	BOT Kraken Deep	START_ACTIVITY	go_to_lumbridge_combat_tutors
1774403739283	307	PLAYER Kraken Deep	TASK_COMPLETED	on_the_run_task
1774403752099	328	PLAYER SprintCrawl	EXP	Mining	17.5
1774403752099	328	PLAYER SprintCrawl	SET_EXP	Mining	175
1774403752100	328	PLAYER SprintCrawl	TASK_COMPLETED	take_your_pick_task
